ID,Supply Chain Segment,Updated,Team Member,Status2,Timeline,Company,Facility Name,Facility Type,Product Type,Product,Workforce,Production Capacity,Website,Facility Phone,Facility City,Facility State or Province,Facility Country,Data Source,Latitude,Longitude,Status,Workforce_dummy
1009,Raw Materials,8/14/21,NA,Active,NA,Lundin Mining,Humboldt mill,NA,Cathode raw materials,Nickel concentrates,200,19000 MT contained Ni/yr,https://www.lundinmining.com/operations/eagle/,906-339-7000,Champion,MI,US,NA,46.48407115,-87.89823602,Commercial,200
1010,Raw Materials,8/14/21,NA,Active,NA,Manganese X Energy Corp.,Battery Hill Project,NA,Cathode raw materials,Manganese concentrates,Unknown,NA,https://www.manganesexenergycorp.com,514-802-1814,Jacksonville,NB,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,46.2004263,-67.63282072,Pre-commercial or start-up,0
1010,Raw Materials,12/4/22,NA,Planned or under construction,NA,Lilac Solutions,Lilac Solutions,NA,Cathode raw materials,Lithium,250,NA,https://www.lilacsolutions.com,401-714-7906,Fernley,NV,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,39.60907033,-119.2532772,Planned,250
1011,Raw Materials,8/14/21,NA,Active,NA,Manganese X Energy Corp.,Woodstock MXE,NA,Cathode raw materials,Manganese concentrates,Unknown,NA,https://www.manganesexenergycorp.com,514-802-1814,Woodstock,NB,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,46.20043372,-67.63274562,Pre-commercial or start-up,0
1012,Raw Materials,8/14/21,NA,Active,NA,Manganese X Energy Corp.,Lac Aux Bouleaux Graphite Property,NA,Anode materials,Natural graphite,Unknown,NA,https://www.manganesexenergycorp.com,514-802-1814,Mont-Laurier,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,46.54923799,-75.50401439000001,Pre-commercial or start-up,0
1013,Raw Materials,8/14/21,NA,Active,NA,Moa JV,Moa Bay mine,NA,Cathode raw materials,Cobalt concentrates,Unknown,3800 MT contained Co/yr,https://www.sherritt.com/English/operations/metals/Moa/default.aspx,NA,Moa,Holguin,Cuba,NA,20.65772732,-74.94469262000003,Commercial,0
1014,Raw Materials,8/14/21,NA,Active,NA,Moa JV,Moa Bay mine,NA,Cathode raw materials,Nickel concentrates,Unknown,35000 MT contained Ni/yr,https://www.sherritt.com/English/operations/metals/Moa/default.aspx,NA,Moa,Holguin,Cuba,NA,20.65772732,-74.94469262000003,Commercial,0
1015,Raw Materials,8/16/21,CH,Planned or under construction,unknown timeline,New Nemaska Lithium,Whabouchi,NA,Cathode raw materials,Spodumene,70,5160 MT contained Li/yr,https://www.nemaskalithium.com,877-704-6038,Baie-James,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,51.68902097,-75.83636156,Planned (unknown timeline),70
1016,Raw Materials,NA,NA,Active,NA,North America Lithium,Quebec Lithium Mine Phase I,NA,Cathode raw materials,Spodumene,33,4324 MT contained Li/yr,https://www.catl.com,819-734-5000,La Corne,QC,Canada,NA,48.42337408,-77.84680506000001,Commercial,33
1017,Raw Materials,8/14/21,NA,Planned or under construction,2023,Nouveau Monde Graphite,Matawinie Graphite Mine,NA,Anode raw materials,Graphite ore,50,100000 MT contained graphite/yr,https://nmg.com/operations/#matawinie-graphite-property,450-757-8905,Saint-Michel-des-Saints,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,46.63,-73.96000000000001,Under construction (2023),50
1018,Raw Materials,8/14/21,NA,Planned or under construction,unknown timeline,Sayona Mining Limited,Authier Project,NA,Cathode raw materials,Spodumene,176,3181 MT contained Li/yr,https://sayonamining.com.au/authier-project/,819-218-3423,La Motte,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,48.32701242,-78.13563294,Planned (unknown timeline),176
1019,Raw Materials,8/14/21,NA,Planned or under construction,unknown timeline,Sayona Mining Limited,Tansim Project,NA,Cathode raw materials,Lithium carbonate,Unknown,NA,https://www.sayonaquebec.com,819-218-3423,Laforce,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,47.68597773,-78.64866475000001,Planned (unknown timeline),0
1020,Raw Materials,8/1/22,NA,Active,NA,Snow Lake Resources Ltd.,Thompson Brothers Lithium Project.,NA,Cathode raw materials,Lithium,10,9600 MT contained Li/yr,https://www.snowlakelithium.com,519-909-8745,Manitoba,MB,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,53.76,-99,Pre-commercial or start-up,10
1021,Raw Materials,8/7/22,NA,Active,NA,The Metals Company,NORI-D,NA,Cathode raw materials,Cobalt ore; Nickel ore; Manganese ore,500,10025 MT contained Co/yr;  99500 MT contained Ni/yr;  2222000 MT contained Mn/yr,https://www.metals.co,NA,NA,NA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,10.48,-116.95,Pre-commercial or start-up,500
1022,Raw Materials,11/25/22,NA,Planned or under construction,NA,Sayona Quebec Inc.,North American Lithium Mining Complex,NA,Cathode raw materials,SC6 - Spodumene concentrate,100,4324 MT contained Li/yr,https://www.piedmontlithium.com,819-734-5000,La Corne,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,48.59156011,-77.88212130999999,Planned,100
1024,Raw Materials,8/7/22,NA,Active,NA,The Metals Company,TOML-F,NA,Cathode raw materials,Cobalt ore; Nickel ore; Manganese ore,458,6800 MT contained Co/yr;  67900 MT contained Ni/yr;  1515600 MT contained Mn/yr,https://www.metals.co,NA,NA,NA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,10.489,-118.367,Pre-commercial or start-up,458
1024,Raw Materials,12/4/22,NA,Planned or under construction,NA,Talon Metals,Mercer County Processing Facility,NA,Cathode raw materials,Ni concentrates,45,75000 MT contained Nil/yr,https://www.talonmetals.com,NA,Mercer County,ND,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,47.39391513,-101.7877517,Planned,45
1027,Raw Materials,8/17/21,NA,Active,NA,Vale Canada Ltd.,Sudbury Basin - Copper Cliff Complex,NA,Cathode raw materials,Cobalt concentrates; Nickel concentrates,2400,1000 MT contained Co/yr;  66000 MT contained Ni/yr,https://www.vale.com,705-682-4211,Copper Cliff,ON,Canada,NA,46.47748864,-81.06409743,Commercial,2400
1028,Raw Materials,8/17/21,NA,Active,NA,Vale Canada Ltd.,Thompson Mine,NA,Cathode raw materials,Cobalt concentrates; Nickel concentrates,900,800 MT contained Co/yr;  14800 MT contained Ni/yr,http://www.vale.com/canada/EN/aboutvale/communities/thompson/Pages/default.aspx,204-778-2211,Thompson,MB,Canada,NA,55.71288818,-97.85071029999999,Commercial,900
1029,Raw Materials,8/17/21,NA,Active,NA,Vale Canada Ltd.,Voisey Bay,NA,Cathode raw materials,Cobalt concentrates; Nickel concentrates,900,2000 MT contained Co/yr;  80000 MT contained Ni/yr,http://www.vale.com/canada/en/aboutvale/communities/voiseysbay/pages/default.aspx,709-228-3600,Happy Valley - Goose Bay,NL,Canada,NA,56.49438186,-62.06951004000001,Commercial,900
1033,Raw Materials,8/14/21,NA,Active,NA,Westwater Resources Inc.,Coosa Graphite Project,NA,Anode raw materials,Natural graphite,15,3700 MT contained graphite/yr,https://www.westwaterresources.net,DNA,Coosa County,AL,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,32.88967555,-86.22033352,Active,15
1034,Raw Materials,8/14/21,NA,Active,NA,Westwater Resources Inc.,Bama Mine Project,NA,Anode raw materials,Natural graphite,15,3700 MT contained graphite/yr,https://www.westwaterresources.net,DNA,Chilton County,AL,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,32.84042835,-86.63235107999999,Active,15
2000,Battery Grade Materials,8/3/22,NA,Active,NA,Alabama Graphite Products LLC,Alabama Graphite Products LLC,NA,Anode Battery Grade Materials,Natural graphite (battery grade),100,6818 MT graphite/yr,https://www.alabamagraphiteproducts.com,205-542-2455,Kelllyton,AL,US,NA,32.98821238,-86.03416340000003,Pre-commercial or startup,100
2000,Battery Grade Materials,12/4/22,NA,Planned or under construction,NA,6K,6k PLUSCAM Demonstration Plant,NA,Cathode Active Material (CAM),"LFP, NMC811",150,10000 MT CAM/yr,https://www.6kinc.com,978-258-1645,North Andover,MA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,42.71856588,-71.11452173,Planned,150
2001,Battery Grade Materials,8/28/22,CH,Planned or under construction,2022,Alkegen,Unifrax,NA,Anode Active Material,Silicon composites,200,NA,https://www.alkegen.com,574-654-7201,New Carlisle,IN,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,41.70291246,-86.44996480000002,Under construction (2022),200
2001,Battery Grade Materials,11/26/22,NA,Active,NA,Advano,Advano,NA,Anode Battery Grade (BG) Materials,Silicon Anode,30,NA,https://www.advano.io,415-634-9866,New Orleans,LA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,30.03187718,-90.06360373000001,Pre-commercial or startup,30
2002,Battery Grade Materials,8/3/22,NA,Active,NA,Anovion,Clarksburg,NA,Anode Battery Grade Materials,Natural graphite (battery grade),140,NA,https://www.amstedgraphite.com,304-624-1200,Anmoore,WV,US,NA,39.2583929,-80.29456206000002,Commercial,140
2003,Battery Grade Materials,11/26/22,NA,Active,NA,Alionyx Energy Systems,Alionyx Energy Systems,NA,Cathode Battery Grade (BG) Materials,Redox Active polymers for cathodes,Unknown,NA,https://www.alionyx.com,818-292-2157,Monrovia,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,34.14107362,-117.99350030000001,Pre-commercial or startup,0
2003,Battery Grade Materials,8/3/22,NA,Active,NA,Anovion,Sanborn Plant,NA,Anode Battery Grade Materials,Synthetic graphite (battery grade),30,5000 MT graphite/yr,https://www.anovion-anode.com,716-731-3221,Sanborn,NY,US,NA,43.13079937,-78.94029360000003,Commercial,30
2004,Battery Grade Materials,8/4/22,NA,Active,NA,Ascend Elements,Cathode Production and Development,NA,Cathode Active Material (CAM),Nickel manganese cobalt oxide (NMC),Unknown,NA,https://www.ascendelements.com,248-468-6766,Novi,MI,US,NA,42.49059929,-83.48709193,Commercial,0
2005,Battery Grade Materials,5/11/23,NA,Planned or under construction,NA,American Battery Technology Company,"Fernley, NV",NA,Cathode Battery Grade (BG) Materials,LiOH,150,5000 MT/yr,https://www.americanbatterytechnology.com,775-473-4744,Fernley,NV,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,39.61295337,-119.25133229999999,Planned,150
2005,Battery Grade Materials,8/3/22,NA,Active,NA,BASF Toda America LLC,BASF Elyria Lithium-ion Battery Material Manufactring Plant,NA,Cathode Active Material (CAM),Nickel manganese cobalt oxide (NMC),146,3000 MT CAM/yr,https://www.basf.com,440-322-3741,Elyria,OH,US,NA,41.37162596,-82.10233413999998,Commercial,146
2006,Battery Grade Materials,11/27/22,NA,Active,NA,Amprius Technologies,Amprius Technologies HQ and Pilot (kWh) scale Commercial Manufacturing Facility,NA,Anode Battery Grade (BG) Materials,Silicon nanowire anode,50,5.0000000000000002E-5 GWh/yr,https://www.amprius.com,800-425-8803,Fremont,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,37.46823573,-121.92567269999999,Pre-commercial or startup,50
2006,Battery Grade Materials,8/3/22,NA,Active,NA,BASF Toda America LLC,Toda America Battle Creek Lithium-ion Battery Material Manufacturing Plant I,NA,Cathode Active Material (CAM),Nickel cobalt aluminum oxide (NCA); Nickel manganese cobalt oxide (NMC); Lithium manganese oxide (LMO),55,4000 MT CAM/yr,"https://www.basf.com
https://www.todakogyo.co.jp/english/",269-962-0353,Battle Creek,MI,US,NA,42.97072775,-85.46685607,Commercial,55
2007,Battery Grade Materials,11/27/22,NA,Planned or under construction,NA,Amprius Technologies,Large scale manufacturing of nanowire andoe electrodes by direct gas-to-electrode manufacturing,NA,Anode Battery Grade (BG) Materials,Silicon nanowire anode,300,1E-3 GWh/yr,https://www.amprius.com,800-425-8803,Fremont,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,37.46823573,-121.92567269999999,Planned,300
2009,Battery Grade Materials,8/3/22,NA,Active,NA,Boleo Copper Project,Boleo Copper/ Cobalt Mine,NA,Cathode Battery Grade Materials,Cobalt oxide,2300,1700 MT,https://mmboleo.com/contacto/,52-615-152-5200,Santa Rosalia,Baja California Sur,Mexico,NA,27.2,-112.17999999999999,Commercial,2300
2010,Battery Grade Materials,8/3/22,NA,Active,NA,Borman Specialty Materials,Borman Specialty Materials,NA,Cathode Battery Grade Materials,Other,100,NA,https://www.bormansm.com,702-651-2200,Henderson,NV,US,NA,36.03566495,-115.00074829999998,Commercial,100
2010,Battery Grade Materials,12/4/22,NA,Planned or under construction,NA,Anovion,Sanborn Plant,NA,Anode Battery Grade (BG) Materials,Synthetic graphite - Battery grade (BG),300,35000 MT graphite/yr,https://www.anovion-anode.com,716-731-3221,Sanborn,NY,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,43.13079937,-78.94029360000003,Planned,300
2011,Battery Grade Materials,10/31/22,NA,Active,NA,Applied Materials,Applied Materials,NA,Anode Battery Grade (BG) Materials,"Ultra-thin-Li deposition on graphite, SiOx-graphite, and Si anodes, and Li-metal anode",Unknown,NA,https://www.energy_storage_solutions@amat.com,NA,Santa Clara,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,37.3778293,-121.978814,Pre-commercial or startup,0
2011,Battery Grade Materials,8/17/21,NA,Active,NA,Controlled Thermal Resources,Hell's Kitchen Lithium and Power Project,NA,Cathode Battery Grade Materials,Lithium hydroxide (battery grade),14,5800 MT contained Li/yr,https://www.cthermal.com,NA,Imperial,CA,US,NA,32.82545064,-115.57331079999999,Pre-commercial or startup,14
2012,Battery Grade Materials,8/13/21,NA,Active,NA,E3 Metals Corp.,Clearwater Lithium Project,NA,Cathode Battery Grade Materials,Lithium hydroxide (battery grade),42,3300 MT contained Li/yr,https://www.e3metalscorp.com,587-324-2775,Red Deer,AB,Canada,NA,52.28949848,-113.81425630000001,Pre-commercial or startup,42
2012,Battery Grade Materials,12/4/22,NA,Planned or under construction,NA,Applied Materials,Advanced Prelithiation and Lithium Anode Manufacturing Facility,NA,Anode Active Material,Advanced lithiated anodes,90,5 GWh/yr,https://www.energy_storage_solutions@amat.com,NA,Santa Clara,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,37.3778293,-121.978814,Planned,90
2013,Battery Grade Materials,12/4/22,NA,Planned or under construction,NA,Ascend Elements,Apex 1,NA,Cathode Active Material (CAM),NMC,130,NA,https://www.ascendelements.com,508-936-7701,Hopkinsville,KY,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,36.79765047,-87.42140382000001,Planned,130
2013,Battery Grade Materials,8/7/22,CH,Active,NA,Electra Battery Materials,Battery Materials Park,NA,Cathode Battery Grade Materials,Cobalt sulfate (battery grade),Unknown,6500 MT contained Co/yr,https://www.electrabmc.com,775-856-5700,North Cobalt,ON,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,47.4034,-79.62225,Pre-commercial or startup,0
2014,Battery Grade Materials,8/3/22,NA,Active,NA,Enevate,Enevate,NA,Anode Active Material,Silicon composites,73,NA,https://www.enevate.com,949-243-0399,Irvine,CA,US,NA,33.64273526,-117.8554939,Commercial,73
2015,Battery Grade Materials,8/3/22,NA,Planned or under construction,unknown timeline,Focus Graphite,Lac Knife Project,NA,Anode Battery Grade Materials,Spherical graphite,10,44300 MT graphite concentrate/yr,https://www.focusgraphite.com,613-241-4040,Kingston,ON,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,44.24427755,-76.51117743,Planned (unknown timeline),10
2016,Battery Grade Materials,8/27/21,NA,Active,NA,Group14 Technologies,Group14 Woodinville Plant,NA,Anode Active Material,Silicon composites,Unknown,NA,https://www.group14.technology,206-385-0385,Woodinville,WA,US,NA,47.80471678,-122.1181265,Commercial,0
2017,Battery Grade Materials,8/3/22,NA,Planned or under construction,2023,Ioneer,Rhyolite Ridge Lithium-Boron Project,NA,Cathode Battery Grade Materials,Lithium hydroxide (battery grade),290,3630 MT contained Li/yr,https://www.ioneer.com,775-382-4800,Silver Peak (nearest),NV,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,37.83031526,-117.81898360000001,Planned (2023),290
2018,Battery Grade Materials,8/3/22,NA,Active,NA,"Lanxess 70% 
Standard Lithium 30%",Lanxess Plant,NA,Cathode Battery Grade Materials,Lithium carbonate (battery grade),144,1310 MT contained Li/yr,https://www.standardlithium.com,203-573-2000,El Dorado,AR,US,NA,33.18583266,-92.70084892999999,Active,144
2019,Battery Grade Materials,8/3/22,NA,Active,NA,"Lanxess 70% 
Standard Lithium 30%",Lanxess South Plant,NA,Cathode Battery Grade Materials,Lithium carbonate (battery grade),143,1310 MT contained Li/yr,https://www.standardlithium.com,203-573-2000,El Dorado,AR,US,NA,33.1121261,-92.66778346000001,Active,143
2019,Battery Grade Materials,10/31/22,NA,Planned or under construction,NA,Birla Carbon,Birla Carbon,NA,Anode Battery Grade (BG) Materials,Synthetic graphite - Battery grade (BG),150,NA,https://www.birlacarbon.com/,337-836-5641,Centerville,LA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,29.68202822,-91.45638467,Planned,150
2020,Battery Grade Materials,8/3/22,NA,Active,NA,"Lanxess 70% 
Standard Lithium 30%",Lanxess West Plant,NA,Cathode Battery Grade Materials,Lithium carbonate (battery grade),143,1310 MT contained Li/yr,https://www.standardlithium.com,203-573-2000,Magnolia,AR,US,NA,33.18458845,-92.93701528000003,Active,143
2020,Battery Grade Materials,10/31/22,NA,Active,NA,Birla Carbon,Birla Carbon,NA,Anode Battery Grade (BG) Materials,Synthetic graphite - Battery grade (BG),15,NA,https://www.https://www.birlacarbon.com/, 770-792-9400,Marietta,GA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,33.95,-84.54,Pre-commercial or startup,15
2021,Battery Grade Materials,5/1/23,CH,Planned or under construction,unknown timeline,Lithium Americas,Thacker Pass Project,NA,Cathode Battery Grade Materials,Lithium carbonate (battery grade),500,5640 MT contained Li/yr,https://www.lithiumamericas.com,778-656-5820,Humboldt County,NV,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,41.56997546,-117.7858109,Planned (unknown timeline),500
2022,Battery Grade Materials,8/3/22,NA,Active,NA,Livent Corporation,"Bessemer City, NC",NA,Anode Battery Grade Materials; Cathode Battery Grade Materials,Lithium metal (battery grade); Lithium hydroxide (battery grade),450,NA,https://www.livent.com,704-868-5400,Bessemer City,NC,US,NA,35.27977793,-81.30902119,Commercial,450
2023,Battery Grade Materials,11/23/22,NA,Active,NA,Conovate Inc.,Conovate Inc.,NA,Materials,Anode Chemistry,2,NA,https://www.conovateinc.com,414-67-5995,Milwaukee,WI,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,43.09214198,-87.89314187,Pre-commercial or startup,2
2024,Battery Grade Materials,10/31/22,NA,Active,NA,Controlled Thermal Resources,Hell's Kitchen Lithium and Power Project,NA,Cathode Battery Grade (BG) Materials,Li hydroxide - BG,50,5800 MT contained Li/yr,https://www.cthermal.com,NA,Imperial,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,32.84853846,-115.5710864,Pre-commercial or startup,50
2024,Battery Grade Materials,8/3/22,NA,Planned or under construction,2022,Livent Corporation,"Bessemer City, NC",NA,Cathode Battery Grade Materials,Lithium hydroxide (battery grade),30,1458 MT contained Li/yr,https://www.livent.com,704-868-5400,Bessemer City,NC,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,35.27977793,-81.30902119,Planned (2022),30
2025,Battery Grade Materials,10/31/22,NA,Active,NA,Controlled Thermal Resources,Hell's Kitchen Lithium and Power Project,NA,Cathode Battery Grade (BG) Materials,Li carbonate - BG,50,5800 MT contained Li/yr,https://www.cthermal.com,NA,Imperial,CA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,32.84853846,-115.5710864,Pre-commercial or startup,50
2025,Battery Grade Materials,8/3/22,NA,Active,NA,Nanotech Energy,Nanotech Energy,NA,Anode Battery Grade Materials,Synthetic graphite (battery grade),97,NA,https://www.nanotechenergy.com,800-995-5491,Los Angeles,CA,US,NA,34.04377491,-118.46749160000002,Pre-commercial or startup,97
2026,Battery Grade Materials,8/16/21,NA,Planned or under construction,unknown timeline,New Nemaska Lithium,Conversion Facility,NA,Cathode Precursors,Lithium hydroxide (battery grade),69,20000 MT,https://www.nemaskalithium.com,877-704-6038,Bécancour,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,46.36411044,-72.39305393000001,Planned (unknown timeline),69
2027,Battery Grade Materials,8/3/22,NA,Planned or under construction,2022,Nouveau Monde Graphite,Advanced Materials Plant,NA,Anode Battery Grade Materials,Synthetic graphite (battery grade),89,2000 MT spherical graphite/yr,https://www.nmg.com/operations/,DNA,Bécancour,QC,Canada,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,46.35171109,-72.4351372,Planned (2022),89
2028,Battery Grade Materials,8/28/22,NA,Active,NA,Novonix,Novonix,NA,Novonix Anode Materials,Synthetic graphite (battery grade),Unknown,2000 MT synthetic graphite/yr,https://www.novonixgroup.com,423-541-5541,Chattanooga,TN,US,NA,35.01202087,-85.37912689,Commercial,0
2029,Battery Grade Materials,8/3/22,NA,Active,NA,"Paraclete Energy, Inc.","Paraclete Energy, Inc.",NA,Anode Battery Grade Materials,Silicon,30,NA,https://www.paracleteenergy.com,734-288-4120,Chelsea,MI,US,NA,42.32416465,-84.03376132,Commercial,30
2030,Battery Grade Materials,8/14/21,NA,Active,NA,Piedmont Lithium,Piedmont Carolina Lithium,NA,Cathode Battery Grade Materials,Lithium hydroxide (battery grade),Unknown,NA,https://www.piedmontlithium.com,704-461-8000,Bessemer City,NC,US,NA,35.36036117,-81.29646225,Commercial,0
2031,Battery Grade Materials,NA,NA,Active,NA,SGL Carbon,SGL Carbon LLC Morganton,NA,Anode Battery Grade Materials,Natural graphite (battery grade),Unknown,NA,https://www.sglcarbon.com,828-437-3221,Morganton,NC,US,NA,35.73179104,-81.72425444000002,Commercial,0
2031,Battery Grade Materials,12/4/22,NA,Planned or under construction,NA,Group14 Technologies,Group14 Woodinville Plant,NA,Anode Active Material,Si-graphite composite - SCC55 ™,2000,4000 MT/yr,https://www.group14.technology,206-385-0385,Woodinville,WA,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,47.80471678,-122.1181265,Planned,2000
2032,Battery Grade Materials,11/27/22,NA,Planned or under construction,NA,ICL-IP America Inc.,St. Louis Facility,NA,Cathode Active Material (CAM),LFP,150,30000 MT LFP/yr,https://www.icl-ip.com,314-577-1600,St. Louis,MO,US,https://www.nrel.gov/transportation/li-ion-battery-supply-chain-database.html,38.54731011,-90.26886664000001,Planned,150
2032,Battery Grade Materials,NA,NA,Active,NA,SGL Carbon,SGL Carbon LLC Sinking Spring,NA,Anode Battery Grade Materials,Natural graphite (battery grade),Unknown,NA,https://www.sglcarbon.com,610-670-4040,Sinking Spring,PA,US,NA,40.3043355,-76.04688171,Commercial,0
2033,Battery Grade Materials,NA,NA,Active,NA,SGL Carbon,SGL Carbon LLC St. Marys,NA,Anode Battery Grade Materials,Natural graphite (battery grade),Unknown,NA,https://www.sglcarbon.com,814-781-2600,St. Marys,PA,US,NA,41.43143441,-78.54304565000001,Commercial,0
2034,Battery Grade Materials,NA,NA,Active,NA,SGL Carbon,SGL Carbon LLC Valencia,NA,Anode Battery Grade Materials,Natural graphite (battery grade),Unknown,NA,https://www.sglcarbon.com,661-257-0500,Valencia,CA,US,NA,34.43605576,-118.58890879999998,Commercial,0
